volunteer_id,home_lat,home_lon,zone,capacity_kg,theta_true,shift_start_h,shift_end_h
V0000,12.892237879130413,77.62751026153713,suburb,30.0,0.9524517731129711,17,26
V0001,12.990670733771752,77.50971855011038,suburb,10.0,-0.4824351420588641,18,26
V0002,13.006062361882147,77.52271076361143,suburb,20.0,-0.4874339703065906,19,22
V0003,12.911685074798273,77.52773866702978,suburb,30.0,-0.34474363552315307,20,26
V0004,13.000861061057963,77.67741374046064,suburb,20.0,0.4923552514912627,18,24
V0005,13.053823620805954,77.5771317867942,suburb,20.0,-0.45101818259830223,18,23
V0006,12.93693736896073,77.60007240001372,south,20.0,0.7204742302597609,18,24
V0007,12.940504889975397,77.67181903039281,suburb,30.0,0.38572905845337585,18,23
V0008,13.02293271314148,77.65807424914547,suburb,10.0,0.2540632555911132,19,24
V0009,12.987277374722408,77.51231380380119,suburb,20.0,-0.3111022785946736,17,22
V0010,12.893361878211213,77.60934318103958,suburb,20.0,-0.06790802398861989,19,24
V0011,12.947405873229934,77.66501560798652,west,10.0,-0.16988143413165374,18,23
V0012,12.980654820906269,77.68636758751127,suburb,10.0,0.5977285952430113,18,24
V0013,12.986950021267196,77.52176481445996,east,30.0,-0.04747723177619073,19,23
V0014,12.983978197568335,77.60266651122691,downtown,30.0,0.5895779846284654,18,24
V0015,12.959034150387843,77.55782867303277,east,20.0,0.12121161239246112,18,24
V0016,13.02147207701926,77.62602830988824,north,10.0,-0.5977974620811854,20,24
V0017,13.020831057311874,77.58469151985547,north,30.0,0.7900124547736693,18,23
V0018,12.996325663864512,77.57679182841527,north,20.0,-1.1818563385538792,18,24
V0019,12.996999373741122,77.56169253895061,east,30.0,-0.22359416725104192,18,24
V0020,12.927833898677028,77.53290879335168,east,10.0,0.34342050796505297,17,23
V0021,13.005981887744248,77.63980587639162,west,10.0,-0.7510104434582807,18,26
V0022,12.929194092968688,77.65704165619167,west,20.0,0.02222184232098129,20,23
V0023,13.046311114137914,77.63847736622698,suburb,20.0,2.531089972805864,20,24
V0024,12.96447247509133,77.66291360944315,west,20.0,-0.1322858081437483,18,22
V0025,13.04187782825026,77.53949713644671,suburb,10.0,-0.6285230022606494,17,24
V0026,12.943794442685155,77.54999657067235,east,30.0,0.3042196171783087,17,26
V0027,13.016999949083772,77.605757919252,north,20.0,1.9027757859481316,19,24
V0028,13.024011087048468,77.57820164319368,north,20.0,0.07468968187352767,18,26
V0029,13.009514109751887,77.60587982616161,north,20.0,-0.8223500594556956,20,24
V0030,13.043607900633244,77.5361182940389,suburb,20.0,1.2448013933654598,19,24
V0031,13.020902741025902,77.62873624373071,north,30.0,0.34658754977752493,20,23
V0032,12.988231372427768,77.56406309058185,east,10.0,-0.10654985690879021,19,26
V0033,12.95564382503367,77.63571157299376,west,30.0,-0.11568409828767168,19,22
V0034,12.973064220851091,77.60629076777614,downtown,10.0,0.7151510346214864,17,24
V0035,12.900833176367968,77.55401077240454,suburb,10.0,-0.06729875256064966,19,24
V0036,12.996701010663475,77.61995807206024,west,50.0,-0.1873355466668628,18,23
V0037,13.047756614771702,77.57222655925723,suburb,20.0,-0.35675408933656244,17,24
V0038,13.032545074453704,77.6436791011772,suburb,10.0,0.3825826641111241,20,24
V0039,13.003080106946229,77.50372761798373,suburb,20.0,-0.2725656111707892,17,22
V0040,12.997291715871215,77.50757390933296,suburb,20.0,0.06986726356407388,19,26
V0041,12.90715586170033,77.63508467818079,suburb,20.0,1.0990885846341159,19,26
V0042,12.972489790005827,77.66186138214631,west,20.0,-0.6774284627637117,19,22
V0043,12.950788769525172,77.58019715909867,south,10.0,1.5829581155244739,18,22
V0044,13.01886220217922,77.67723763497354,suburb,20.0,0.09294162838716709,17,22
V0045,12.982042372776718,77.61551438488483,west,10.0,0.5772308180361112,19,23
V0046,12.916755559856844,77.59299899274731,south,30.0,-0.37724642683427795,17,23
V0047,12.971782168039129,77.64318075676685,west,20.0,0.5086772420452006,17,23
V0048,13.028128859406918,77.63768437247876,north,30.0,0.41019938011771084,20,22
V0049,13.044762544014024,77.54194184456216,suburb,50.0,-0.17721984595995915,19,24
V0050,13.02857139710582,77.6605386676825,suburb,20.0,0.3220500096819749,20,23
V0051,12.932985843726069,77.54696792442112,east,20.0,-0.09753166505703187,18,23
V0052,12.940018255108194,77.63021146392435,west,20.0,-0.06282017849831512,18,24
V0053,13.021900235875654,77.5774180100635,north,50.0,1.5858492843279552,18,24
V0054,12.920103859277933,77.5193218750168,suburb,30.0,-0.03725676282776669,19,23
V0055,12.99617339304954,77.67639428869147,suburb,30.0,0.047479153995872436,19,22
V0056,13.04307791708015,77.6376642320381,suburb,50.0,0.14643746168143934,20,24
V0057,12.986859859760049,77.51927911804901,east,30.0,-0.6109738931523192,18,24
V0058,12.94924496063882,77.57407471081673,south,10.0,1.124249628885357,19,23
V0059,12.977745672763708,77.52269466962463,east,30.0,1.4929677453209658,19,26
V0060,12.996557772044378,77.61778817182423,north,10.0,0.49468529016052676,18,24
V0061,12.931610814157173,77.66536415163802,suburb,30.0,0.3875207141589568,18,23
V0062,13.001522363456449,77.64141685606228,west,10.0,0.9998593975282357,18,23
V0063,12.893051836244263,77.56672342419603,suburb,50.0,0.3618449534649549,18,23
V0064,12.952156439888023,77.49745226602529,suburb,50.0,0.6432932010592747,20,24
V0065,12.942717636645144,77.57624264386182,south,30.0,0.28630435547442645,18,24
V0066,12.920505250852997,77.60857351510366,south,20.0,0.5517092848135949,20,24
V0067,13.003950440600933,77.59398139765217,north,30.0,-0.17742082691066863,19,22
V0068,12.922454427826988,77.50847974343887,suburb,30.0,0.8081064683006831,20,22
V0069,13.001331676688876,77.63293998976638,west,30.0,0.856422780333935,20,24
V0070,12.990091769327655,77.5952476492509,north,10.0,-1.394448296843325,19,23
V0071,13.05553685044842,77.62698197850683,suburb,30.0,-0.027907253106059793,19,24
V0072,13.057847866588023,77.6174142935234,suburb,20.0,1.2828687116555177,19,26
V0073,12.967901768176002,77.55544740474397,east,10.0,-0.08641335045954335,19,26
V0074,13.043270026270061,77.6208179454749,suburb,30.0,0.5797576707705616,20,24
V0075,13.00554527359889,77.61723850129258,north,10.0,-0.655801929031752,18,24
V0076,12.901877266964961,77.55959712890997,suburb,10.0,1.2565293244225335,18,24
V0077,12.923442430559783,77.52726570480962,suburb,50.0,0.5067016905459764,19,23
V0078,13.020664941764332,77.64141790994206,north,10.0,0.32815247465366026,18,23
V0079,12.921172374233747,77.53617824253867,suburb,20.0,-0.46669504475952467,18,24
V0080,13.024984434070385,77.60722892472437,north,20.0,1.7497849299436135,18,24
V0081,12.949862000241872,77.52288805402301,east,30.0,0.34826051953230563,18,24
V0082,12.906089688641279,77.62550542483062,south,30.0,2.278138981276666,19,24
V0083,13.05216492027803,77.54986177882591,suburb,20.0,0.06367393506863647,19,23
V0084,12.882624917459701,77.59796237750062,suburb,10.0,0.7324681890507434,19,22
V0085,12.94560634615695,77.64027179471304,west,10.0,0.9484377003721194,19,22
V0086,13.026514270656797,77.52339211086876,suburb,20.0,0.9161479855773489,19,22
V0087,13.02838230313738,77.57902440626164,north,50.0,0.547907417170918,18,24
V0088,12.909346955358815,77.64892468611316,suburb,30.0,0.1311194785431612,18,24
V0089,12.991448813162798,77.62949366475847,west,30.0,1.5031495580991932,19,24
V0090,13.032567602215943,77.67179007561083,suburb,20.0,-0.1540285695137471,17,24
V0091,12.908704557592083,77.60719524770057,south,10.0,-0.5528976767399667,20,22
V0092,12.959336442459621,77.64110746967124,west,20.0,1.118250128586851,18,22
V0093,12.998242671299245,77.55359217888277,east,30.0,0.056618699640196085,19,24
V0094,12.95591246372535,77.61249219274717,west,20.0,0.7301327763083871,19,23
V0095,13.022609103749426,77.52443937964746,suburb,20.0,-0.045666574667661386,19,26
V0096,12.914818713001473,77.59503313122323,south,20.0,-0.5110378505847348,18,26
V0097,13.005594893236704,77.66581682593657,suburb,20.0,0.791530137840758,17,26
V0098,12.948561619156079,77.65712422402203,west,20.0,0.14561579521247608,18,24
V0099,13.048552475132764,77.58553316010278,suburb,30.0,1.1983599880475455,19,26
V0100,13.052002524085104,77.57518112335343,suburb,30.0,-0.6577064171414875,17,24
V0101,12.910613515020975,77.57290726210867,south,30.0,1.4888929187996967,20,23
V0102,12.971591379349436,77.50907318657279,suburb,20.0,-1.121407318543414,17,24
V0103,13.039406420735942,77.58826075450186,north,20.0,-1.2199696477137028,18,24
V0104,12.944966577131094,77.58467062450548,south,30.0,0.6329052886436252,19,22
V0105,13.028240372864506,77.61296138389102,north,10.0,0.3882208892706108,19,24
V0106,12.965593814940483,77.50191880581801,suburb,30.0,0.3933156173414011,18,24
V0107,13.061695376096553,77.59721486411885,suburb,20.0,-0.2957327473028909,17,23
V0108,12.928059970056365,77.51133943788771,suburb,20.0,-1.7302242647435924,18,26
